stock,test_set_R2,median_QLIKE
stock_zero,-0.26382462211599944,0.12886069956620394
stock1,0.4343681054123586,0.03294661496804219
stock2,0.3991321402384659,0.03339240846470948
stock3,0.5692719435461508,0.041827516222045835
stock4,-0.08165112562845422,0.11027158672378023
stock5,0.44927958797570366,0.12870627725208061
stock6,0.6122319617341516,0.05565344796831806
stock7,0.437040775697198,0.11274611198778128
stock8,0.7324613666993915,0.04397351806766514
stock9,0.20656301156212942,0.11696188994171819
stock10,0.8047409063733655,0.03337141500470109
stock11,0.45195006925653103,0.07623955340239452
stock13,0.8459209909285369,0.05336823476285246
stock14,0.32055182255199255,0.02651643599565512
stock15,0.6750104877600478,0.048343326413210375
stock16,0.2998081840085688,0.18282018835694924
stock17,0.26614895285309925,0.05548289215860358
stock18,0.10416685866657593,0.18236647252463045
stock19,0.6800145552653367,0.06220502134385242
stock20,0.6902020677178902,0.02899568821948073
stock21,0.8096294251369609,0.041455559017117616
stock22,0.6946901878198561,0.06158501450391052
stock23,0.6584965059862323,0.03867668619277098
stock26,0.6327298722271282,0.038996836132904056
stock27,0.500750233010056,0.13483207348715998
stock28,-29.107161179680823,0.0523476630569506
stock29,0.7900746576442057,0.010450063870432569
stock30,0.372751392773778,0.1490767579965332
stock31,0.48529744843596634,0.20662160575274868
stock32,0.8306410635103891,0.04163968462776124
stock33,0.03562172320044732,0.17760808667908023
stock34,0.647659957088808,0.024845177065593416
stock35,0.564570753114412,0.01870753999036412
stock36,0.7252764535896976,0.03589511794096689
stock37,0.3623768989094145,0.18072151253519797
stock38,0.7211233036085616,0.07030408182807091
stock39,0.08881397246172074,0.029528113345730023
stock40,0.5953656383514945,0.09292240799489526
stock41,0.5372989769870689,0.040248295403608525
stock42,0.7039819473059659,0.04862590201826911
stock43,0.9235991830214757,0.011717853974321568
stock44,0.8157306568856422,0.02630422309517222
stock46,0.70301888663171,0.04942627450013237
stock47,0.7462444852921014,0.05027524827501528
stock48,0.5413109393043832,0.09789146911945856
stock50,0.838823535178707,0.022177933680127992
stock51,0.6182957187924663,0.05088674946041438
stock52,0.6644657991430502,0.027543664017260605
stock53,-0.32891306673526377,0.06136503790390169
stock55,0.6301069601707139,0.08721295177663824
stock56,0.8073286538295268,0.024496348060468298
stock58,0.5150429473755509,0.10806399351040197
stock59,0.5073780660449667,0.057023791934188495
stock60,0.6507931191695787,0.13740181707780474
stock61,0.6941175040713508,0.02392166247946015
stock62,0.5906773575215252,0.07814502830281
stock63,0.7176920597230694,0.02182031183633204
stock64,0.7647765286628099,0.03407441493460983
stock66,-3.0462007423438706,0.10061555161289248
stock67,0.7426574675467594,0.04283880681069974
stock68,0.3288893792254418,0.0498208658963768
stock69,0.8720667872532506,0.015998097901218533
stock70,0.5793470832187155,0.08809467989320696
stock72,0.502321068117402,0.06890252199775304
stock73,0.5960828943434325,0.036192874648402706
stock74,0.3377427357309595,0.07435326681384902
stock75,0.18340726357224224,0.1585899440283146
stock76,0.6562634721963332,0.024359261715547254
stock77,-10.927868492204597,0.021067671609827476
stock78,0.651300400723436,0.06927527992008453
stock80,0.6528245714055092,0.05700048139678571
stock81,-0.1766715890235384,0.0452418060106925
stock82,0.5042475867084808,0.08304990278983326
stock83,0.4697720553482906,0.13339539743633655
stock84,0.8639759288258719,0.012870442945914329
stock85,0.6179706525791928,0.06381265575162287
stock86,0.6902626064771508,0.05589734579487804
stock87,0.7030178001436109,0.04986520932157246
stock88,0.47794605574622717,0.14267224495459885
stock89,0.5875072113108908,0.11728158195275962
stock90,0.6727694791938991,0.09596571576962465
stock93,0.0379056336288186,0.021678481612188882
stock94,0.5775086131910543,0.061714659081511636
stock95,0.7397862962628861,0.037360783116831775
stock96,0.666369613775984,0.0255314923831792
stock97,0.41955147245381874,0.08467616003289224
stock98,0.5201090047018493,0.1528205164952422
stock99,0.7371119842854046,0.051428435727381094
stock100,0.7202628667844362,0.03825143386338181
stock101,0.6991917224320015,0.028109663221798864
stock102,0.5438407607092479,0.0865331051990087
stock103,0.611468430912131,0.0965230928013483
stock104,0.7177479374060608,0.06906132681605193
stock105,0.7480811269961991,0.06197759440020145
stock107,0.6913552221735515,0.06187920194234742
stock108,0.8630258097260488,0.04163742473931131
stock109,0.8332258899106503,0.036386307422020536
stock110,0.47223899236876465,0.10185202631062473
stock111,0.8809536107760527,0.01953573513664908
stock112,-4.67426066604292,0.11273214178305668
stock113,0.7029500280480638,0.0469132902021997
stock114,0.3620496598389774,0.05496730217322421
stock115,0.6074798190842918,0.040993728510814065
stock116,0.4874696588003504,0.08513608296516872
stock118,0.6381143500072269,0.08268299003696244
stock119,0.7582996124646404,0.04076947298899203
stock120,0.7855403782889882,0.034222319661846745
stock122,0.623437156545092,0.03744996843334025
stock123,0.8789485957963978,0.01805339623965263
stock124,0.776705812352791,0.01949798995655805
stock125,0.7876778396368943,0.05322600123176724
stock126,0.5172830673636528,0.07796054437694055
