"stock_id","R2_lightgbm","QLIKE_lightgbm","R2_gam","QLIKE_gam","R2_har_base","QLIKE_har_base","R2_har_stepwise","QLIKE_har_stepwise"
"stock_0",-0.0127865338820108,0.112735648981211,-0.2638,0.12886,0.594898852554312,0.041435267550578,0.589728126927877,0.0393481754159493
"stock_1",0.493286873018198,0.0365498797752454,0.4344,0.03295,0.545998582044178,0.0228633631790296,0.512779555139224,0.0243167632127118
"stock_2",0.805869834554776,0.0301163753999553,0.3991,0.03339,0.680097291223124,0.0446054312773425,0.670743111048639,0.0444017338590175
"stock_3",0.446657169498817,0.047382517159072,0.5693,0.04183,0.594510738911433,0.0387048420293049,0.587618667819212,0.0375994151077654
"stock_4",0.485974639761946,0.0795921109241935,-0.0817,0.11027,0.693971752960483,0.0217068583433955,0.69331198262005,0.0256008029583275
"stock_5",0.263210862324859,0.163481591118665,0.4493,0.12871,0.56763537416539,0.0325214131792509,0.541198896599196,0.0339335378064404
"stock_6",0.549467396133552,0.0368731798647999,0.6122,0.05565,0.662016868546225,0.0361834394170394,0.660042594153642,0.0336063260731363
"stock_7",0.431459612136535,0.101383990198756,0.437,0.11275,0.441759457590754,0.035300529545793,0.410994527694535,0.0308707398131551
"stock_8",0.655270392058931,0.034419004194375,0.7325,0.04397,0.605343731598966,0.0461531771716492,0.571120414196897,0.053929654134764
"stock_9",0.196844528271451,0.100345943591341,0.2066,0.11696,0.567706421000273,0.0378165851611443,0.55732809673185,0.0450038800579108
"stock_10",0.804366873893287,0.0284749328208808,0.8047,0.03337,0.551515459724267,0.05693795272012,0.522346704329011,0.0564779403847215
"stock_11",0.274313785320815,0.0878795426826857,0.452,0.07624,0.703407880002696,0.0361374573297484,0.702515558453603,0.0296721307566175
"stock_13",0.717982039871618,0.0438801446807684,0.8459,0.05337,0.615442057533838,0.0339287310782924,0.611183421824964,0.0325341117182829
"stock_14",0.662794050643334,0.0195951542162078,0.3206,0.02652,0.653016085133257,0.0351966349275168,0.628433900131025,0.0354033689960184
"stock_15",0.529613510652238,0.0404404867395465,0.675,0.04834,0.594953115864487,0.0497620310402782,0.582866451132514,0.0498926718842418
"stock_16",0.454830909048476,0.07304836893751,0.2998,0.18282,0.708088836303075,0.0367692842670633,0.642446089871586,0.0492539851759253
"stock_17",0.599682636975247,0.0438590115033878,0.2661,0.05548,0.514926254115276,0.0381659573656135,0.501815220709699,0.0357702631390163
"stock_18",-0.0836707571004902,0.148369961784943,0.1042,0.18237,0.640819589003095,0.044164941516993,0.615043503236248,0.0489863618639269
